Symbol	Japanese
VERSION	Version {0}
GAME_TITLE	WARBORN
CAMPAIGN	キャンペーン
MULTIPLAYER	マルチプレイヤー
MAP_EDITOR	マップ\nエディター
OPTIONS	オプション
QUIT	終了
SYSTEM_MENU	ポーズメニュー
MAIN_MENU	メインメニュー
ANY_BUTTON_TO_START	PRESS ANY BUTTON
LOADING	ロード中
SAVING	セーブ中
LOCAL	オフライン
ONLINE	オンライン
NEW_GAME	ニューゲーム
LOAD_GAME	ロード
CAMPAIGN_SELECT_A_SAVE_FILE	セーブファイルを選択
CHECKING_SAVE_DATA	セーブデータをチェック中…
DELETE_SAVE_CONFIRMATION	このセーブデータを削除しますか？\n一度削除したセーブは復元できません。
RETRY	リトライ
CONFIRM_RETRY_FROM_CHECKPOINT	セーブしたチェックポイントからリトライしますか？
CONFIRM_RETRY_FROM_BEGINNING	ミッションの最初からリトライしますか？\n\n最初からやり直すと、セーブしていたチェックポイントは消去されます。
SKIRMISH	スカーミッシュ
QUICK_PLAY	クイックプレイ
JOIN_GAME	ゲームに参加
HOST_GAME	ゲームをホスト
BACK	戻る
ERASE	消去
CANCEL	キャンセル
CONFIRM	決定
CONTINUE	次へ
CLOSE	閉じる
SELECT	選択
SAVE_AND_QUIT	セーブして終了
CHANGE	チェンジ
START	スタート
CREATE_GAME	ゲームの作成
GAME_OPTIONS	ゲームオプション
OPTIONS_CATEGORY_GENERAL	全般
OPTIONS_CATEGORY_DISPLAY	ディスプレイ
OPTIONS_CATEGORY_AUDIO	オーディオ
OPTIONS_CATEGORY_ACCESSIBILITY	アクセシビリティ
OPTION_TITLE_LANGUAGE	言語
OPTION_TITLE_BATTLE_ANIMATIONS	戦闘アニメーション
OPTION_SHOW_ALL	すべて表示
OPTION_SHOW_ALLY_ONLY	味方のみ表示
OPTION_SHOW_SKIP_ALL	すべてスキップ
OPTION_TITLE_TURN_END	ターン終了
OPTION_AUTOMATIC	自動
OPTION_SHOW_PROMPT	確認する
OPTION_MANUAL	手動
OPTION_TITLE_DIALOGUE_SPEED	台詞の速度
OPTION_SLOW	遅い
OPTION_NORMAL	普通
OPTION_FAST	速い
OPTION_INSTANT	即時
OPTION_TITLE_RESOLUTION	解像度
OPTION_TITLE_WINDOWED	ウィンドウモード
OPTION_TITLE_ENABLE_VSYNC	Vsync有効
OPTION_TITLE_MASTER_VOLUME	マスターボリューム
OPTION_TITLE_BGM_VOLUME	BGM
OPTION_TITLE_SFX_VOLUME	効果音
OPTION_TITLE_ENABLE_DIALOGUE_SFX	台詞の効果音
OPTION_TITLE_ENABLE_SCREENSHAKE_EFFECTS	画面の揺れ
OPTION_TITLE_ENABLE_CONTROLLER_VIBRATION	コントローラーの振動
OPTION_TITLE_ENABLE_CONTROLLER_CURSOR_SNAP	コントローラーのカーソルスナップ
OPTION_TITLE_CURSOR_SENSITIVITY	コントローラーのカーソル感度
READY	準備完了
NOT_READY	準備中
UNREADY	キャンセル
LEAVE_LOBBY	退出
CHANGE_COMMANDER	コマンダー\n変更
SELECT_MATCH_TYPE	マッチタイプの選択
SELECTED	選択
CHANGE_MAP	マップ変更
GAME_RULES	ゲームルール
ENEMY_AI	エネミーAI
DISCONNECTED_FROM_SERVER	サーバーから切断されました
DISCONNECTED	マッチから切断されました
OPPONENT_DISCONNECTED	対戦相手がマッチから切断されました
MULTIPLAYER_LOBBY	マルチプレイヤーロビー
AWAITING_OPPONENT	相手を待っています...
JOIN_CODE_DISPLAY	参加コード:\n<size={0}>{1}</size>
JOIN_CODE	コード入力
JOIN_CODE_PLACEHOLDER	コード入力
JOINING_GAME	ゲームに参加中...
JOIN	参加する
PRIVATE_MATCH_SETUP	プライベートマッチのセットアップ
JOIN_INSTRUCTIONS	このコードを対戦相手に渡して、ゲームに参加してもらいましょう。
ENTER_CODE_INSTRUCTIONS	ゲームへ参加するには、ホストから受け取ったコードを入力してください。
LEAVE_MATCH_CONFIRMATION	マッチから離脱しますか？
RECEIVING_CUSTOM_MAP	カスタムマップを受信中...
CREATING_GAME_LOBBY	ゲームロビー作成中...
FINDING_OPPONENT	対戦相手を検索中...
